Year,FP,OO
POPL '97,,
POPL '96,,
POPL '95,33,19
POPL '94,37,17
POPL '93,38,23
POPL '92,28,16
POPL '91,,
POPL '90,29,14
POPL '13,43,7
POPL '99,,
POPL '98,,
POPL '77,22,11
POPL '10,40,9
POPL '08,37,14
POPL '09,38,9
POPL '04,28,10
POPL '05,30,12
POPL '06,34,12
POPL '07,38,12
POPL '00,29,13
POPL '01,23,8
POPL '02,29,10
POPL '03,24,11
POPL '84,22,11
POPL '85,22,10
POPL '86,29,19
POPL '87,24,13
POPL '80,24,8
POPL '81,19,8
POPL '82,29,18
POPL '83,27,12
POPL '88,23,14
POPL '89,27,15
POPL '79,24,10
POPL '78,23,11
POPL '73,16,8
POPL '14,52,16
POPL '75,19,9
POPL '12,45,14
POPL '11,50,21
POPL '76,19,13
