POPL '00,      29
POPL '01,      23
POPL '02,      29
POPL '03,      24
POPL '04,      28
POPL '05,      30
POPL '06,      34
POPL '07,      38
POPL '08,      37
POPL '09,      38
POPL '10,      40
POPL '11,      50
POPL '12,      45
POPL '13,      43
POPL '14,      52
POPL '73,      16
POPL '75,      19
POPL '76,      19
POPL '77,      22
POPL '78,      23
POPL '79,      24
POPL '80,      24
POPL '81,      19
POPL '82,      29
POPL '83,      27
POPL '84,      22
POPL '85,      22
POPL '86,      29
POPL '87,      24
POPL '88,      23
POPL '89,      27
POPL '90,      29
POPL '91,       0
POPL '92,      28
POPL '93,      38
POPL '94,      37
POPL '95,      33
POPL '96,       0
POPL '97,       0
POPL '98,       0
POPL '99,       0
